tip,subgenus,section,subsection,clade,NAm,code,sp,drop
Quercus_glabrescens_|_HIPP_|_IL-SH-014_|_USA_|_Illinois_|_OAK-MOR-462,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-MOR-462,Quercus_glabrescens,FALSE
Quercus_rugosa_|_SOCORRO_GONZALEZ-HIPP_|_8388_|_Mexico_|_Durango__|_OAK-MOR-1137,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,OAK-MOR-1137,Quercus_rugosa,FALSE
Quercus_deserticola_|_CAVENDER-BARES_|_JCB-MX-JA-NC-160_|_Mexico_|_Jalisco_|_OAK-UMN-091,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-091,Quercus_deserticola,FALSE
Quercus_obtusata_|_CAVENDER-BARES_|_JCB-MX-JA-MS-204_|_Mexico_|_Jalisco_|_OAK-UMN-136,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-136,Quercus_obtusata,FALSE
Quercus_potosina_|_CAVENDER-BARES_|_JCB-MX-OA-TE-12_|_Mexico_|_Oaxaca_|_OAK-UMN-263,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-263,Quercus_potosina,FALSE
Quercus_glaucoides_|_CAVENDER-BARES_|_JCB-MX-OA-PA-14_|_Mexico_|_Oaxaca_|_OAK-UMN-265,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-265,Quercus_glaucoides,FALSE
Quercus_peduncularis_|_CAVENDER-BARES_|_JCB-MX-JA-MA-139_|_Mexico_|_Jalisco_|_OAK-UMN-070,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-070,Quercus_peduncularis,FALSE
Quercus_diversifolia_|_HIPP_|_CA-DAV-MH29_|_USA_|_California_|_OAK-MOR-400,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-MOR-400,Quercus_diversifolia,FALSE
Quercus_new_species_|_CAVENDER-BARES_|_JCB-MX-OA-OA-34_|_Mexico_|_Oaxaca_|_JCB-MX-OA-OA-34,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,JCB-MX-OA-OA-34,Quercus_new_species,FALSE
Quercus_purulhana_|_CAVENDER-BARES_|_JCB-BZ-MPR-PU-6_|_Belize_|_NA_|_OAK-UMN-343,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-343,Quercus_purulhana,FALSE
Quercus_liebmanii_|_CAVENDER-BARES_|_JCB-MX-OA-TE-7_|_Mexico_|_Oaxaca_|_OAK-UMN-258,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-258,Quercus_liebmanii,FALSE
Quercus_subspathulata_|_HIPP_|_2017129_|_Mexico_|_FALSE_|_OAK-MOR-001181,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-MOR-001181,Quercus_subspathulata,FALSE
Quercus_nudinervis_|_HIPP_|_2017124_|_Mexico_|_FALSE_|_OAK-MOR-001176,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-MOR-001176,Quercus_nudinervis,FALSE
Quercus_resinosa_|_CAVENDER-BARES_|_JCB-MX-JA-TM-110_|_Mexico_|_Jalisco_|_OAK-UMN-041,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-041,Quercus_resinosa,FALSE
Quercus_magnoliifolia_|_CAVENDER-BARES_|_JCB-MX-JA-MA-153_|_Mexico_|_Jalisco_|_JCB-MX-JA-MA-153,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,JCB-MX-JA-MA-153,Quercus_magnoliifolia,FALSE
Quercus_arizonica_|_HIPP_|_2015034_|_Mexico_|_Durango_|_OAK-MOR-923,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,OAK-MOR-923,Quercus_arizonica,FALSE
Quercus_striatula_|_HIPP_|_2017163_|_Mexico_|_FALSE_|_OAK-MOR-001214,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-MOR-001214,Quercus_striatula,FALSE
Quercus_chihuahuensis_|_HIPP_|_2015076_|_Mexico_|_Jalisco_|_OAK-MOR-931,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,OAK-MOR-931,Quercus_chihuahuensis,FALSE
Quercus_grisea_|_CAVENDER-BARES_|_AZ-CH-10_|_USA_|_Arizona_|_OAK-MOR-362,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,OAK-MOR-362,Quercus_grisea,FALSE
Quercus_toumeyi_|_CAVENDER-BARES_|_AZ-CH-7_|_USA_|_Arizona_|_OAK-MOR-365,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,OAK-MOR-365,Quercus_toumeyi,FALSE
Quercus_turbinella_|_CAVENDER-BARES_|_JCB-US-AZ-CH-TU_|_USA_|_Arizona_|_OAK-UMN-040,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,OAK-UMN-040,Quercus_turbinella,FALSE
Quercus_ajoensis_|_CAVENDER-BARES_|_JCB-US-AZ-AM-AJ-2_|_USA_|_Arizona_|_OAK-UMN-038,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,OAK-UMN-038,Quercus_ajoensis,FALSE
Quercus_laeta_|_CAVENDER-BARES_|_JCB-MX-JA-AM-157_|_Mexico_|_Jalisco_|_OAK-UMN-088,subg. Quercus,Quercus,,Leucomexicana [in part],FALSE,OAK-UMN-088,Quercus_laeta,FALSE
Quercus_engelmannii_|_HIPP_|_CA-DAV-MH37_|_USA_|_California_|_OAK-MOR-394,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,OAK-MOR-394,Quercus_engelmannii,FALSE
Quercus_oblongifolia_|_HIPP_|_2017154_|_Mexico_|_FALSE_|_OAK-MOR-001205,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,OAK-MOR-001205,Quercus_oblongifolia,FALSE
Quercus_gambelii_|_NA_|_NA_|_NA_|_NA_|_splicedPerMcVay2017,subg. Quercus,Quercus,Dumosae,,TRUE,NA,Quercus_gambelii,FALSE
Quercus_depressipes_|_NA_|_NA_|_NA_|_NA_|_splicedPerUnpublData,subg. Quercus,Quercus,,Leucomexicana [in part],TRUE,NA,Quercus_depressipes,FALSE
Quercus_sinuata_var._breviloba_|_NA_|_NA_|_NA_|_NA_|_splicedPerUnpublData,subg. Quercus,Quercus,Stellatae,,TRUE,NA,Quercus_sinuata_var._breviloba,FALSE
Quercus_marilandica_var._ashei_|_NA_|_NA_|_NA_|_NA_|_splicedPerUnpublData,subg. Quercus,Lobatae,Phellos,,TRUE,NA,Quercus_marilandica_var._ashei,FALSE
Quercus_garryana_var._breweri_|_NA_|_NA_|_NA_|_NA_|_splicedPerUnpublData,subg. Quercus,Quercus,Dumosae,,TRUE,NA,Quercus_garryana_var._breweri,FALSE
