id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
21184285,ANHC,,,PreservedSpecimen,,ANHC002986,"ANHC Acc#: 006739",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,"Sid Vogelpohl",10/21/2009,,,,,,"Sid Vogelpohl",,,,,2009,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, verbatimCoordinates",,,,sterile,,0,,,,,,"Herbarium Sheet 1 of 1.","United States",Arkansas,Logan,,,"Coordinates taken 2/7/2015 by collector.",1,,,,,,,,,,,,,,,,,,,English,"Brent Baker","2019-02-26 13:35:52",23129,270,urn:uuid:da3c94d8-9411-402f-894d-783958cd6136,https://vplants.org:443/portal/collections/individual/index.php?occid=21184285
21184286,ANHC,,,PreservedSpecimen,,ANHC002987,"ANHC Acc#: 001939",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,"Travis Marsico",7/29/2002,,,,,,"Travis Marsico",,,,,2002,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, habitat",,,,sterile,,0,,,,,,"Herbarium Sheet 1 of 1.","United States",Arkansas,Montgomery,,,,1,,,,,,,,,,,,,,,,,,,English,"Brent Baker","2020-07-28 12:49:15",13044,270,urn:uuid:dfdb3778-33fc-4091-9a07-a59b55a8cd4e,https://vplants.org:443/portal/collections/individual/index.php?occid=21184286
21184287,ANHC,,,PreservedSpecimen,,ANHC002988,"ANHC Acc#: 001941",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,"Brent Baker",4/20/2011,,synonym,,,,"George Johnson",,,,,1991,,,,,,"About 20 plants. Only second known location for plants since E.J. Palmer's discovery on Magazine Moutain in Logan County in 1923.",,,"Ranging from 2-7 m in height.",,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, habitat",,,,fruit,,0,,,,,,"Herbarium Sheet 1 of 1.","United States",Arkansas,Montgomery,,,,1,,,,,,,,,,,,,,,,,,,English,"Brent Baker","2020-07-28 12:49:41",13045,270,urn:uuid:b1f629c2-fe1b-4477-9ca0-f454dbf646c1,https://vplants.org:443/portal/collections/individual/index.php?occid=21184287
21184288,ANHC,,,PreservedSpecimen,,ANHC002989,"ANHC Acc#: 001943",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,"Brent Baker",4/20/2011,,synonym,,,,"George Johnson",,,,,1991,,,,,,"About 20 plants. Only second known location for plants since E.J. Palmer's discovery on Magazine Moutain in Logan County in 1923.",,,"Ranging from 2-7 m in height.",,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, habitat",,,,sterile,,0,,,,,,"Herbarium Sheet 1 of 1.","United States",Arkansas,Montgomery,,,,1,,,,,,,,,,,,,,,,,,,English,"Brent Baker","2020-07-28 12:50:09",13047,270,urn:uuid:800863f7-bd4b-4b27-b82a-b3e13beb0b91,https://vplants.org:443/portal/collections/individual/index.php?occid=21184288
21184289,ANHC,,,PreservedSpecimen,,ANHC002990,"ANHC Acc#: 001942",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,"Brent Baker",4/20/2011,,synonym,,,,"George Johnson",,,,,1991,,,,,,"About 20 plants. Only second known location for plants since E.J. Palmer's discovery on Magazine Moutain in Logan County in 1923.",,,"Ranging from 2-7 m in height.",,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, habitat",,,,sterile,,0,,,,,,"Herbarium Sheet 1 of 1.","United States",Arkansas,Montgomery,,,,1,,,,,,,,,,,,,,,,,,,English,"Brent Baker","2020-07-28 12:49:32",13046,270,urn:uuid:b97d433e-5b9d-4245-9427-ccf5d8bf7af5,https://vplants.org:443/portal/collections/individual/index.php?occid=21184289
21184290,ANHC,,,PreservedSpecimen,,ANHC002991,"ANHC Acc#: 001940",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,"Brent Baker",4/20/2011,,synonym,,,,"George Johnson",,,,,1991,,,,,,"About 20 plants. Only second known location for plants since E.J. Palmer's discovery on Magazine Moutain in Logan County in 1923.",,,"Ranging from 2-7 m in height.",,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, habitat",,,,fruit,,0,,,,,,"Herbarium Sheet 1 of 1.","United States",Arkansas,Montgomery,,,,1,,,,,,,,,,,,,,,,,,,English,"Brent Baker","2020-07-29 06:49:07",1648,270,urn:uuid:d52e41f1-fd11-4069-b8f8-6a66967f0b71,https://vplants.org:443/portal/collections/individual/index.php?occid=21184290
21184291,ANHC,,,PreservedSpecimen,,ANHC002992,"ANHC Acc#: 001938",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,"Travis Marsico",7/29/2002,,,,,,"Travis Marsico",,,,,2002,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, habitat",,,,sterile,,0,,,,,,"Herbarium Sheet 1 of 1.","United States",Arkansas,Montgomery,,,,1,,,,,,,,,,,,,,,,,,,English,"Brent Baker","2020-07-28 12:49:22",13043,270,urn:uuid:89f654ad-4df5-41fe-aa8c-3a1ef4b9e33b,https://vplants.org:443/portal/collections/individual/index.php?occid=21184291
21184292,ANHC,,,PreservedSpecimen,,ANHC002993,"ANHC Acc#: 001937",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,"Travis Marsico",7/29/2002,,,,,,"Travis Marsico",,,,,2002,,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, habitat",,,,sterile,,0,,,,,,"Herbarium Sheet 1 of 1.","United States",Arkansas,Montgomery,,,,1,,,,,,,,,,,,,,,,,,,English,"Brent Baker","2020-08-04 09:00:55",3104,270,urn:uuid:acf00153-6886-4943-8a39-dac5a3d98bcc,https://vplants.org:443/portal/collections/individual/index.php?occid=21184292
21184293,ANHC,,,PreservedSpecimen,,ANHC002994,"ANHC Acc#: 006258",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,"Brent Baker",9/2/2010,,,,,,"Brent Baker",,"Susan Hooks & Terry McKay",,,2010,,,,,,"25+ shrubby trees observed.",,,"Most near 7 feet tall and some with acorns.",,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, decimalLatitude, decimalLongitude, habitat",,,"Growing with Quercus marilandica, Q. muehlenbergii, Prunus mexicana, Juniperus virginiana, Danthonia spicata, Ambrosia artemisiifolia & Dichanthelium linearifolium.",fruit,,0,,,,,,"Herbarium Sheet 1 of 1.","United States",Arkansas,Montgomery,,,,1,,,,,,,,,,,,,,,,,,,English,"Brent Baker","2020-07-28 12:49:53",13048,270,urn:uuid:5125ee88-7bd1-4407-abf8-ce78f2fb939d,https://vplants.org:443/portal/collections/individual/index.php?occid=21184293
21184294,ANHC,,,PreservedSpecimen,,ANHC002995,"ANHC Acc#: 001944",Plantae,Magnoliophyta,,Fagales,Fagaceae,"Quercus acerifolia",97522,"(Palmer) Stoynoff & Hess",Quercus,acerifolia,,,"Theo Witsell",8/22/2003,,,,,,"Theo Witsell",,,,,2003,,,,,,"400+ individuals. Perhaps the largest known site.",,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, habitat",,,"Growing with Liatris squarrosa, Schizachyrium scoparium, Quercus muhlenbergii, Q. marilandica, Q. stellata, Carya texana & C. glabra.",fruit,,0,,,,,,"Herbarium Sheet 1 of 1.","United States",Arkansas,Sebastian,,,,1,,,,,,,,,,,,,,,,,,,English,"Brent Baker","2020-08-04 09:01:16",3105,270,urn:uuid:9ad57b38-bdaa-4fe1-a93f-285323ae7673,https://vplants.org:443/portal/collections/individual/index.php?occid=21184294
